chart_id,index_raw,source_mode,spot,position,stack,opponent,open,bet,source_hash,source_file,compressed_file,image_width,image_height,original_size_bytes,compressed_size_bytes,original_sha256,compressed_sha256
B2_0817,041,huante,,BB,18BB,vs_1L_REAL,,,9eef9f395952,041__position-BB__stack-18BB__opponent-vs_1L_REAL__huante-9eef9f395952.jpg,charts/0817.webp,434,600,60418,28020,b709451260fdad69061a7f975d2704dfc1d1602e1d48ae3b6bd1c56b9bf40b40,a69272b46edeca639ea3de9244a69bdfbaba570023b15a1a27b477099e6099ac
B2_0818,118,huante,,SB,14BB,1R_vs_Push,,,41afe43abc6f,118__position-SB__stack-14BB__opponent-1R_vs_Push__huante-41afe43abc6f.jpg,charts/0818.webp,434,600,37462,15746,f8ee578095f028382981f595e2af69bbed34a9d9936fae7795550ac10b099244,2bd98ab3b0f9eba1c1b8b1f5a07ee0d42b0ff2cf7e31cf5461c84be85f9f26a4
B2_0819,028,huante,,BB,15BB,vs_1R_REAL,,,3ff106dfd93b,028__position-BB__stack-15BB__opponent-vs_1R_REAL__huante-3ff106dfd93b.jpg,charts/0819.webp,434,600,56348,25508,ae9ca9f1cfa8c8879d8118320709b560c7073aa93a30c25370ddc154b46e5666,9f43fcefd9a48cf55492c8e3f461ed7061c7614ae425a8d3d583ab557e6af846
B2_0820,043,huante,,BB,18BB,vs_1R_REAL,,,c3188d8c03ae,043__position-BB__stack-18BB__opponent-vs_1R_REAL__huante-c3188d8c03ae.jpg,charts/0820.webp,434,600,56120,25484,024b76ada59eee7d2913522a9cc57e81285fd8d87436d22a2fcccaae1eebe2c0,aa60b9dd9e6c4bb029f26d388cd783e311fce0c5b2a412fe9622f383ee46f992
B2_0821,085,huante,,BB,5BB,vs_1L_REAL,,,e68ff1e2868f,085__position-BB__stack-5BB__opponent-vs_1L_REAL__huante-e68ff1e2868f.jpg,charts/0821.webp,434,600,56800,25724,c4f2f03e48f7f9ba79b7e79776370e66def265911ce51a66bf0ecc54b82a95bc,6efa439fec40a9bdabea27ed1233c8bf2f0403bbe02f7d43bd597d22b8419d86
B2_0822,077,huante,,BB,3BB,vs_1L_REAL,,,59a84eab19e3,077__position-BB__stack-3BB__opponent-vs_1L_REAL__huante-59a84eab19e3.jpg,charts/0822.webp,434,600,56900,25834,106421c4892a7901e241fe6069b4d84f5088cfc74e4f1a5dfda796a0883a665e,c404f8e5d9db9c02c6c834d71f386a030e3a946483e82e16678c1cba1b2d0e75
B2_0823,153,huante,,SB,4BB,1R_vs_Push,,,aaa393f0e1ff,153__position-SB__stack-4BB__opponent-1R_vs_Push__huante-aaa393f0e1ff.jpg,charts/0823.webp,434,600,52939,23576,123ac22104f31ada0e07bb793992e673941af81684f10b8f72d6443e4b27fed1,10432b5e6f642881e36b8efbb663cfebaf2383e25b335c0d77de4350dce1a1c6
B2_0824,083,huante,,BB,50BB,vs_1R,,,58d3bdd1d85b,083__position-BB__stack-50BB__opponent-vs_1R__huante-58d3bdd1d85b.jpg,charts/0824.webp,434,600,57374,25748,3dce7a4b7ad6350fe981e283a1ce4bd6a049fcc2e4668e7c862bb6ff25feefce,cbb45dedc2f960f5e7e3ac066f6eee862d090e69ee2660a7bab9c6185f955a41
B2_0825,074,huante,,BB,30BB,vs_1R_REAL,,,be6c50e16ada,074__position-BB__stack-30BB__opponent-vs_1R_REAL__huante-be6c50e16ada.jpg,charts/0825.webp,434,600,57096,25750,e5f221260b178fd6189770a4e656309d3bced03b18d2f2f0389169b990dc1c37,c274b617a6ec845c9056b1e41de4b26b0bf880374f3faf3f3c1884d2ed3c00b3
B2_0826,113,huante,,SB,12BB,Limp_vs_Push,,,da1a4d35c9db,113__position-SB__stack-12BB__opponent-Limp_vs_Push__huante-da1a4d35c9db.jpg,charts/0826.webp,434,600,38057,15984,4f1656e5ac98a90ca906d182aab044ed819d8bf2ae624a4bd85e3197c13eb74b,3b457c52df491fb3e32ced1b8f28d7e49b7d5c8c04ce692a1abc5c6d45333e51
